4.86,4.86,2020-12-07 17:39:59
4.84,4.84,2020-12-07 17:45:19
4.86,4.84,2020-12-07 18:09:59
4.86,4.86,2020-12-07 18:19:59
4.84,4.84,2020-12-07 18:29:59
4.86,4.86,2020-12-07 18:39:59
4.86,4.86,2020-12-07 18:49:08
4.9,4.9,2020-12-08 09:59:59
4.9,4.9,2020-12-08 10:09:59
4.84,4.82,2020-12-08 10:19:59
4.88,4.82,2020-12-08 10:29:59
4.82,4.84,2020-12-08 10:39:59
4.82,4.86,2020-12-08 10:49:59
4.82,4.86,2020-12-08 10:59:59
4.86,4.88,2020-12-08 11:09:59
4.88,4.9,2020-12-08 11:19:59
4.88,4.9,2020-12-08 11:39:59
4.88,4.88,2020-12-08 11:49:59
4.88,4.88,2020-12-08 11:57:07
4.88,4.88,2020-12-08 12:19:59
4.84,4.84,2020-12-08 12:29:59
4.88,4.88,2020-12-08 12:39:59
4.84,4.84,2020-12-08 12:49:59
4.82,4.86,2020-12-08 12:59:07
4.82,4.82,2020-12-08 13:09:59
4.86,4.86,2020-12-08 13:19:59
4.86,4.84,2020-12-08 13:29:59
4.86,4.86,2020-12-08 13:49:59
4.84,4.84,2020-12-08 13:55:07
4.84,4.82,2020-12-08 14:19:59
4.86,4.86,2020-12-08 14:29:59
4.82,4.86,2020-12-08 14:39:59
4.82,4.86,2020-12-08 14:49:59
4.86,4.86,2020-12-08 14:58:06
4.82,4.82,2020-12-08 15:09:59
4.82,4.82,2020-12-08 15:19:59
4.8,4.8,2020-12-08 15:29:59
4.8,4.78,2020-12-08 15:39:59
4.78,4.82,2020-12-08 15:49:59
4.82,4.82,2020-12-08 15:57:07
4.82,4.8,2020-12-08 16:19:59
4.8,4.8,2020-12-08 16:29:59
4.8,4.8,2020-12-08 16:39:59
4.78,4.78,2020-12-08 16:49:59
4.8,4.8,2020-12-08 16:53:07
4.78,4.8,2020-12-08 17:09:59
4.8,4.8,2020-12-08 17:19:59
4.8,4.8,2020-12-08 17:29:59
4.8,4.8,2020-12-08 17:39:59
4.8,4.82,2020-12-08 17:59:59
4.8,4.78,2020-12-08 18:09:59
4.8,4.8,2020-12-08 18:19:59
