KRKO,ТКЗ Красный котельщик ПАО ао,KRKO,11.8
KRKOP,ТКЗ Красный котельщик ПАО ап,KRKOP,15.06
KROT,"""КрасныйОктябрь"" ПАО - ао",KROT,428.5
KROTP,КрасныйОктябрь-1п,KROTP,330.5
KRSB,Красноярскэнергосбыт ао,KRSB,9.9
KRSBP,Красноярскэнергосбыт ап,KRSBP,10.04
KSGR,Кокс ПАО ао,KSGR,
KTSB,"""Костромск.сбыт.комп"" ПАО",KTSB,0.624
KTSBP,"""Костромск.сбыт.комп"" ПАО",KTSBP,0.282
KUBE,"""Россети Кубань"" ПАО",KUBE,68.8
KUNF,Каменск-Уральский завод ПАО ао,KUNF,
KUZB,"Банк ""Кузнецкий"" ПАО ао",KUZB,0.02299
KZMS,"""КЗМС"" ПАО",KZMS,226.0
KZOS,"ПАО ""Органический синтез"" ао",KZOS,93.6
KZOSP,"ПАО ""Органический синтез"" ап",KZOSP,38.9
LIFE,Фармсинтез ПАО ао,LIFE,5.81
LKOH,НК ЛУКОЙЛ (ПАО) - ао,LKOH,6092.0
LNTA,МКПАО Лента др,LNTA,230.7
LNZL,"""Лензолото"" ПАО ао",LNZL,17950.0
LNZLP,"""Лензолото"" ПАО ап",LNZLP,4380.0
LPSB,Липецкая энергосбыт.ком.ОАО ао,LPSB,8.65
LSNG,Россети Ленэнерго ПАО-ао,LSNG,6.07
LSNGP,Россети Ленэнерго ПАО-ап,LSNGP,165.5
LSRG,Группа ЛСР ПАО ао,LSRG,827.2
LVHK,Левенгук ОАО ао,LVHK,13.1
MAGE,"""Магаданэнерго"" ПАО ао",MAGE,9.34
MAGEP,"""Магаданэнерго"" ПАО ап",MAGEP,6.03
MAGN,"""Магнитогорск.мет.комб"" ПАО ао",MAGN,65.45
MAIL,ГДР Mail.ru Gr Limited ORD SHS,MAIL,1634.6
MDMG,ГДР MD Medical Group Inv. PLC,MDMG,642.4
MFGS,"ао ""Славнефть-Мегионнефтегаз""",MFGS,315.5
MFGSP,ап Мегионнефтегаз,MFGSP,299.0
MFON,МегаФон ПАО ао,MFON,650.6
MGNT,"""Магнит"" ПАО ао",MGNT,5112.5
MGNZ,Соликамский магн.завод(ОАО)ао,MGNZ,9570.0
MGTS,"ПАО ""МГТС"" ао (5 в)",MGTS,2345.0
MGTSP,"ПАО ""МГТС"" ап (4 в)",MGTSP,1938.0
MISB,ТНС энерго Марий Эл ПАО ао,MISB,13.5
MISBP,ТНС энерго Марий Эл ПАО ап,MISBP,11.9
MOBB,Московский областной банк ПАО,MOBB,0.698
