KRKO,ТКЗ Красный котельщик ПАО ао,KRKO,11.8
KRKOP,ТКЗ Красный котельщик ПАО ап,KRKOP,15.76
KROT,"""КрасныйОктябрь"" ПАО - ао",KROT,464.0
KROTP,КрасныйОктябрь-1п,KROTP,338.0
KRSB,Красноярскэнергосбыт ао,KRSB,10.27
KRSBP,Красноярскэнергосбыт ап,KRSBP,10.22
KSGR,Кокс ПАО ао,KSGR,
KTSB,"""Костромск.сбыт.комп"" ПАО",KTSB,0.634
KTSBP,"""Костромск.сбыт.комп"" ПАО",KTSBP,0.28
KUBE,"""Россети Кубань"" ПАО",KUBE,70.0
KUNF,Каменск-Уральский завод ПАО ао,KUNF,
KUZB,"Банк ""Кузнецкий"" ПАО ао",KUZB,0.01829
KZMS,"""КЗМС"" ПАО",KZMS,226.0
KZOS,"ПАО ""Органический синтез"" ао",KZOS,89.4
KZOSP,"ПАО ""Органический синтез"" ап",KZOSP,24.26
LIFE,Фармсинтез ПАО ао,LIFE,6.22
LKOH,НК ЛУКОЙЛ (ПАО) - ао,LKOH,6025.0
LNTA,МКПАО Лента др,LNTA,238.2
LNZL,"""Лензолото"" ПАО ао",LNZL,17940.0
LNZLP,"""Лензолото"" ПАО ап",LNZLP,4375.0
LPSB,Липецкая энергосбыт.ком.ОАО ао,LPSB,8.7
LSNG,Россети Ленэнерго ПАО-ао,LSNG,6.02
LSNGP,Россети Ленэнерго ПАО-ап,LSNGP,160.8
LSRG,Группа ЛСР ПАО ао,LSRG,856.4
LVHK,Левенгук ОАО ао,LVHK,13.2
MAGE,"""Магаданэнерго"" ПАО ао",MAGE,9.32
MAGEP,"""Магаданэнерго"" ПАО ап",MAGEP,6.34
MAGN,"""Магнитогорск.мет.комб"" ПАО ао",MAGN,69.155
MAIL,ГДР Mail.ru Gr Limited ORD SHS,MAIL,1733.0
MDMG,ГДР MD Medical Group Inv. PLC,MDMG,577.6
MFGS,"ао ""Славнефть-Мегионнефтегаз""",MFGS,325.5
MFGSP,ап Мегионнефтегаз,MFGSP,287.5
MFON,МегаФон ПАО ао,MFON,650.6
MGNT,"""Магнит"" ПАО ао",MGNT,5112.0
MGNZ,Соликамский магн.завод(ОАО)ао,MGNZ,9580.0
MGTS,"ПАО ""МГТС"" ао (5 в)",MGTS,2260.0
MGTSP,"ПАО ""МГТС"" ап (4 в)",MGTSP,1932.0
MISB,ТНС энерго Марий Эл ПАО ао,MISB,13.5
MISBP,ТНС энерго Марий Эл ПАО ап,MISBP,12.1
MOBB,Московский областной банк ПАО,MOBB,0.698
MOEX,ПАО Московская Биржа,MOEX,169.5
MORI,Морион ПАО ао,MORI,4.31
MRKC,"""МРСК Центра"" ПАО ао",MRKC,0.3916
MRKK,Россети Сев. Кавказ ао,MRKK,26.38
MRKP,МРСК Центр. и Приволж. ао,MRKP,0.2552
MRKS,Россети Сибирь ао,MRKS,0.323
MRKU,МРСК Урала (ОАО) ао,MRKU,0.1482
MRKV,Россети Волга ао,MRKV,0.0636
MRKY,Россети Юг  (ПАО) ао,MRKY,0.0458
MRKZ,МРСК Северо-Запада ао,MRKZ,0.053
MRSB,Мордовск.энергсбыт.комп.ПАО ао,MRSB,0.394
MSNG,МосЭнерго акции обыкн.,MSNG,2.273
MSRS,ПАО Россети Моск.рег. ао,MSRS,1.181
MSTT,"ПАО ""МОСТОТРЕСТ"" ао",MSTT,108.05
MTLR,Мечел ПАО ао,MTLR,78.02
MTLRP,Мечел ПАО ап,MTLRP,79.65
MTSS,Мобильные ТелеСистемы ПАО ао,MTSS,323.1
MVID,"""М.видео"" ПАО ао",MVID,701.1
NAUK,НПО Наука ао,NAUK,204.6
NFAZ,Нефтекамский автозавод ПАО ао,NFAZ,356.0
NKHP,НКХП ПАО ао,NKHP,358.5
NKNC,"""Нижнекамскнефтехим"" ПАО ао",NKNC,90.2
NKNCP,"""Нижнекамскнефтехим"" ПАО ап",NKNCP,75.9
NKSH,Нижнекамскшина ПАО ао,NKSH,22.38
NLMK,"ПАО ""НЛМК"" ао",NLMK,272.34
NMTP,НМТП (ПАО) ао,NMTP,7.525
NNSB,ТНС энерго Нижний Новг.ПАО ао,NNSB,2240.0
NNSBP,ТНС энерго Нижний Новг.ПАО ап,NNSBP,588.0
NPOF,"ОАО ""НПО Физика"" ао",NPOF,11850.0
NSVZ,Наука-Связь ПАО ао,NSVZ,207.0
