KRKO,ТКЗ Красный котельщик ПАО ао,KRKO,11.8
KRKOP,ТКЗ Красный котельщик ПАО ап,KRKOP,15.3
KROT,"""КрасныйОктябрь"" ПАО - ао",KROT,435.0
KROTP,КрасныйОктябрь-1п,KROTP,332.0
KRSB,Красноярскэнергосбыт ао,KRSB,9.78
KRSBP,Красноярскэнергосбыт ап,KRSBP,10.1
KSGR,Кокс ПАО ао,KSGR,
KTSB,"""Костромск.сбыт.комп"" ПАО",KTSB,0.63
KTSBP,"""Костромск.сбыт.комп"" ПАО",KTSBP,0.282
KUBE,"""Россети Кубань"" ПАО",KUBE,69.5
KUNF,Каменск-Уральский завод ПАО ао,KUNF,
KUZB,"Банк ""Кузнецкий"" ПАО ао",KUZB,0.021
KZMS,"""КЗМС"" ПАО",KZMS,226.0
KZOS,"ПАО ""Органический синтез"" ао",KZOS,92.3
KZOSP,"ПАО ""Органический синтез"" ап",KZOSP,34.2
LIFE,Фармсинтез ПАО ао,LIFE,5.895
LKOH,НК ЛУКОЙЛ (ПАО) - ао,LKOH,6081.0
LNTA,МКПАО Лента др,LNTA,233.0
LNZL,"""Лензолото"" ПАО ао",LNZL,18030.0
LNZLP,"""Лензолото"" ПАО ап",LNZLP,4380.0
LPSB,Липецкая энергосбыт.ком.ОАО ао,LPSB,8.6
LSNG,Россети Ленэнерго ПАО-ао,LSNG,6.08
LSNGP,Россети Ленэнерго ПАО-ап,LSNGP,164.45
LSRG,Группа ЛСР ПАО ао,LSRG,823.8
LVHK,Левенгук ОАО ао,LVHK,13.0
MAGE,"""Магаданэнерго"" ПАО ао",MAGE,8.94
MAGEP,"""Магаданэнерго"" ПАО ап",MAGEP,5.87
MAGN,"""Магнитогорск.мет.комб"" ПАО ао",MAGN,64.65
MAIL,ГДР Mail.ru Gr Limited ORD SHS,MAIL,1638.4
MDMG,ГДР MD Medical Group Inv. PLC,MDMG,613.8
MFGS,"ао ""Славнефть-Мегионнефтегаз""",MFGS,316.0
MFGSP,ап Мегионнефтегаз,MFGSP,296.0
MFON,МегаФон ПАО ао,MFON,650.6
MGNT,"""Магнит"" ПАО ао",MGNT,5154.0
MGNZ,Соликамский магн.завод(ОАО)ао,MGNZ,9530.0
MGTS,"ПАО ""МГТС"" ао (5 в)",MGTS,2290.0
MGTSP,"ПАО ""МГТС"" ап (4 в)",MGTSP,1938.0
MISB,ТНС энерго Марий Эл ПАО ао,MISB,13.5
MISBP,ТНС энерго Марий Эл ПАО ап,MISBP,11.8
MOBB,Московский областной банк ПАО,MOBB,0.698
MOEX,ПАО Московская Биржа,MOEX,187.98
MORI,Морион ПАО ао,MORI,4.31
MRKC,"""МРСК Центра"" ПАО ао",MRKC,0.4136
MRKK,Россети Сев. Кавказ ао,MRKK,25.2
MRKP,МРСК Центр. и Приволж. ао,MRKP,0.2709
MRKS,Россети Сибирь ао,MRKS,0.318
MRKU,МРСК Урала (ОАО) ао,MRKU,0.1478
MRKV,Россети Волга ао,MRKV,0.06065
MRKY,Россети Юг  (ПАО) ао,MRKY,0.0457
MRKZ,МРСК Северо-Запада ао,MRKZ,0.049
MRSB,Мордовск.энергсбыт.комп.ПАО ао,MRSB,0.416
MSNG,МосЭнерго акции обыкн.,MSNG,2.266
MSRS,ПАО Россети Моск.рег. ао,MSRS,1.2155
MSTT,"ПАО ""МОСТОТРЕСТ"" ао",MSTT,108.25
MTLR,Мечел ПАО ао,MTLR,78.89
MTLRP,Мечел ПАО ап,MTLRP,80.45
MTSS,Мобильные ТелеСистемы ПАО ао,MTSS,322.8
MVID,"""М.видео"" ПАО ао",MVID,695.0
NAUK,НПО Наука ао,NAUK,196.0
NFAZ,Нефтекамский автозавод ПАО ао,NFAZ,357.2
NKHP,НКХП ПАО ао,NKHP,360.0
NKNC,"""Нижнекамскнефтехим"" ПАО ао",NKNC,93.75
NKNCP,"""Нижнекамскнефтехим"" ПАО ап",NKNCP,78.6
NKSH,Нижнекамскшина ПАО ао,NKSH,21.48
NLMK,"ПАО ""НЛМК"" ао",NLMK,266.3
NMTP,НМТП (ПАО) ао,NMTP,7.415
NNSB,ТНС энерго Нижний Новг.ПАО ао,NNSB,2185.0
NNSBP,ТНС энерго Нижний Новг.ПАО ап,NNSBP,567.0
NPOF,"ОАО ""НПО Физика"" ао",NPOF,11850.0
NSVZ,Наука-Связь ПАО ао,NSVZ,204.5
NVTK,"ПАО ""НОВАТЭК"" ао",NVTK,1409.2
OGKB,ОГК-2 ПАО ао,OGKB,0.8288
OKEY,ГДР OKEY Group S.A. ORD SHS,OKEY,55.75
OMZZP,"ап""Объединён.  маш. заводы""",OMZZP,4250.0
ORUP,"ПАО ""ОР"" ао",ORUP,26.76
OZON,АДР Ozon Holdings PLC ORD SHS,OZON,4365.0
PAZA,Павловский автобус ПАО ао,PAZA,7400.0
PHOR,ФосАгро ПАО ао,PHOR,4374.0
PIKK,ПИК СЗ (ПАО) ао,PIKK,1002.1
PLZL,Полюс ПАО ао,PLZL,14810.0
PMSB,"""Пермэнергосбыт"" ПАО ао",PMSB,151.3
PMSBP,"""Пермэнергосбыт"" ПАО ап",PMSBP,149.4
POGR,Petropavlovsk PLC,POGR,27.76
POLY,Polymetal International plc,POLY,1636.0
PRMB,"АКБ ""Приморье"" ао",PRMB,34200.0
QIWI,QIWI PLC,QIWI,786.0
RASP,ПАО Распадская ао,RASP,237.8
RAVN,Raven Property Group Limited,RAVN,29.95
RBCM,РБК ПАО ао,RBCM,4.038
RDRB,РоссийскийДорож Банк ПАО ао,RDRB,228.0
RGSS,Росгосстрах СК ПАО ао,RGSS,0.2336
RKKE,РКК Энергия им.С.П.Королева ао,RKKE,7550.0
RNFT,РуссНефть НК ПАО ао,RNFT,169.2
ROLO,"""Русолово"" ПАО ао",ROLO,11.67
ROSB,РОСБАНК ПАО ао,ROSB,79.2
ROSN,ПАО НК Роснефть,ROSN,535.55
ROST,РОСИНТЕР РЕСТОРАНТС (ПАО),ROST,69.0
RSTI,"""Российские сети"" ПАО ао",RSTI,1.4572
RSTIP,"""Российские сети"" ПАО ап",RSTIP,2.072
RTGZ,Газпром газорасп Р-н-Д ПАО ао,RTGZ,37100.0
RTKM,Ростелеком (ПАО) ао.,RTKM,104.02
RTKMP,Ростелеком (ПАО) ап.,RTKMP,90.55
RTSB,ТНС энерго Ростов. ПАО ао,RTSB,0.5
RTSBP,ТНС энерго Ростов. ПАО ап,RTSBP,0.477
RUAL,РУСАЛ ОК МКПАО ао,RUAL,53.535
RUGR,Русгрэйн Холдинг ПАО ао,RUGR,12.662
RUSI,РУСС-ИНВЕСТ ИК ПАО ао,RUSI,69.9
RUSP,Русполимет ПАО ао,RUSP,0.747
RZSB,"""Рязанская энергосб.комп"" ПАО",RZSB,18.66
SAGO,Самараэнерго (ПАО) - ао,SAGO,0.63
SAGOP,Самараэнерго (ПАО) - ап,SAGOP,0.508
SARE,Саратовэнерго(ПАО)-ао,SARE,0.1256
SAREP,Саратовэнерго(ПАО)-ап,SAREP,0.106
SBER,Сбербанк России ПАО ао,SBER,312.76
SBERP,Сбербанк России ПАО ап,SBERP,293.45
SELG,"ПАО ""Селигдар""  ао",SELG,44.62
SELGP,"ПАО ""Селигдар"" ап",SELGP,44.7
SFIN,САФМАР Фин.Инвестиции ПАО ао,SFIN,467.4
SGZH,Сегежа ао,SGZH,8.0
SIBN,Газпром нефть ПАО ао,SIBN,370.5
SLEN,"ПАО ""Сахалинэнерго"" ао",SLEN,6.03
SMLT,ГК Самолет ао,SMLT,1533.0
SNGS,Сургутнефтегаз ПАО акции об.,SNGS,35.28
SNGSP,Сургутнефтегаз ПАО ап,SNGSP,43.69
